Company Name,Description,Company Website,YC Website,Industries,Full Description,Founders,LinkedIn Profiles
Cheers,NFC tools for tap-and-go customer feedback 📳,https://www.cheersreviews.com,https://www.ycombinator.com/companies/cheers-2,"S24, B2B",Cheers,"Dylan Allen, Ernesto Valencia Arevalo","https://linkedin.com/in/dylan-allen, https://www.linkedin.com/in/ernestovalenciaav/"
Ply Health,Faster way to get providers in-network with payers.,https://plyhealth.com,https://www.ycombinator.com/companies/ply-health,"S24, Healthcare",Ply Health,"Samantha Wu, David Zhang, Founder","https://www.linkedin.com/in/samanthawu/, https://www.linkedin.com/in/dzhangd/"
Unit IQ,"Platform for fast, accurate, & actionable unit economics insights",http://unitiq.ai,https://www.ycombinator.com/companies/unit-iq,"S24, B2B, Operations",Unit IQ,"Peter Marler, Zach Yellin-Flaherty","https://www.linkedin.com/in/marler/, https://www.linkedin.com/in/zachary-yellin-flaherty/"
Undermind,A search engine for complex questions,https://www.undermind.ai,https://www.ycombinator.com/companies/undermind,"S24, Education",Undermind,"Tom Hartke, Joshua Ramette","https://www.linkedin.com/in/thomas-hartke-229a0679/, https://linkedin.com/in/joshua-ramette-50984791"
Domu Technology Inc.,Domu automates debt collection calls for banks like BBVA using GenAI.…,https://www.domu.ai/,https://www.ycombinator.com/companies/domu-technology-inc,"S24, B2B, Engineering, Product and Design",Domu Technology Inc.,"Nicolas Diaz, Camila Zancanella","https://www.linkedin.com/in/nicolasdiaz27/, https://linkedin.com/in/camilazancanella"
Apten,Customizable AI SMS agents for businesses,https://www.apten.ai/,https://www.ycombinator.com/companies/apten,"S24, B2B, Marketing",Apten,"Daniel Ho, Roshan Kumaraswamy","https://linkedin.com/in/danielho799, https://linkedin.com/in/roshan-kumaraswamy"
Spherecast,The inventory copilot for multi-channel brands,https://www.spherecast.ai/,https://www.ycombinator.com/companies/spherecast,"S24, B2B, Supply Chain and Logistics",Spherecast,"Leon Hergert, Paul Dietrich, Pascal Schindler","https://linkedin.com/in/leonhergert, https://linkedin.com/in/pauldietrich98, https://linkedin.com/in/pascal-schindler"
CardLift,We help credit card issuers generate more revenue per cardholder,https://withcardlift.com,https://www.ycombinator.com/companies/cardlift,"S24, Fintech",CardLift,Rithwik Pattikonda,https://www.linkedin.com/in/rithwikpattikonda
Ångström AI,Fast Gen AI molecular simulations that reproduce wetlab results,https://www.angstrom-ai.com,https://www.ycombinator.com/companies/angstrom-ai,"S24, Healthcare, Drug Discovery and Delivery",Ångström AI,"Javier Antoran, Jose Miguel Hernandez Lobato, Laurence Midgley","https://linkedin.com/in/javier-antoran, https://linkedin.com/in/jose-miguel-hernandez-lobato-7790512a5, https://linkedin.com/in/laurencemidgley"
Central,"Automating BS work for founders - payroll, benefits, govt. filings etc",https://getcentralhq.com,https://www.ycombinator.com/companies/central,"S24, B2B, Human Resources",Central,"Josh Wymer, Pranav Kashyap, Nilay Modi, Founder","https://linkedin.com/in/joshwymer, https://linkedin.com/in/pranav-kashyap, https://linkedin.com/in/thenilaymodi"
Poka Labs,The modern operating system for chemical manufacturing.,https://www.pokalabs.com/,https://www.ycombinator.com/companies/poka-labs,"S24, B2B",Poka Labs,"Andrew Bass, Malay Shah","https://linkedin.com/in/andrewbass, https://linkedin.com/in/yalamshah"
